edges_version;edge_disallow;edge_from;edge_id;edge_numLanes;edge_priority;edge_shape;edge_speed;edge_to;edge_type;lane_index;param_key;param_value
1.9;tram rail_urban rail rail_electric rail_fast ship;1614219932;160346394#0;1;10;4785.18,2952.68 4783.17,2960.48 4779.95,2965.92 4738.08,3020.45 4710.02,3053.33 4665.19,3109.18 4612.57,3185.03 4584.89,3219.64 4514.64,3307.50 4422.15,3423.19 4407.31,3442.09;11.11;2389190048;highway.tertiary;0;origId;160346394
1.9;tram rail_urban rail rail_electric rail_fast ship;2389190048;160346394#1;1;10;;11.11;2389190082;highway.tertiary;0;origId;160346394
1.9;tram rail_urban rail rail_electric rail_fast ship;2389190082;160346394#2;1;10;;11.11;2389190064;highway.tertiary;0;origId;160346394
1.9;tram rail_urban rail rail_electric rail_fast ship;2389190064;160346394#3;1;10;;11.11;2389190069;highway.tertiary;0;origId;160346394
1.9;tram rail_urban rail rail_electric rail_fast ship;2389190069;160346394#4;2;10;4279.26,3604.14 4265.75,3622.07 4235.27,3667.54 4199.19,3712.16;11.11;459515615;highway.tertiary;0;origId;160346394
1.9;tram rail_urban rail rail_electric rail_fast ship;2389190069;160346394#4;2;10;4279.26,3604.14 4265.75,3622.07 4235.27,3667.54 4199.19,3712.16;11.11;459515615;highway.tertiary;1;origId;160346394
1.9;tram rail_urban rail rail_electric rail_fast ship;459515615;160346394#5;1;10;4199.19,3712.16 4157.34,3752.75 4136.43,3787.84;11.11;2389190038;highway.tertiary;0;origId;160346394
1.9;tram rail_urban rail rail_electric rail_fast ship;2389190038;160346394#6;2;10;4136.43,3787.84 4130.70,3797.46 4107.05,3827.90 4094.57,3843.96 4077.80,3865.54 4076.27,3867.44 4069.42,3875.98;11.11;1698688817;highway.tertiary;0;origId;160346394
1.9;tram rail_urban rail rail_electric rail_fast ship;2389190038;160346394#6;2;10;4136.43,3787.84 4130.70,3797.46 4107.05,3827.90 4094.57,3843.96 4077.80,3865.54 4076.27,3867.44 4069.42,3875.98;11.11;1698688817;highway.tertiary;1;origId;160346394
1.9;tram rail_urban rail rail_electric rail_fast ship;2398956407;160379981;1;5;;8.33;1724275529;highway.tertiary_link;0;origId;160379981
1.9;;1725691275;160512744#0;2;14;3633.44,4455.64 3735.86,4327.87 3922.09,4095.60 4106.60,3862.45 4206.09,3736.10 4351.91,3553.50 4464.97,3411.36 4559.73,3292.49 4654.79,3172.46 4721.93,3086.97;22.22;160512744#0-AddedOffRampNode;highway.motorway;0;origId;160512744
1.9;;1725691275;160512744#0;2;14;3633.44,4455.64 3735.86,4327.87 3922.09,4095.60 4106.60,3862.45 4206.09,3736.10 4351.91,3553.50 4464.97,3411.36 4559.73,3292.49 4654.79,3172.46 4721.93,3086.97;22.22;160512744#0-AddedOffRampNode;highway.motorway;1;origId;160512744
1.9;;160512744#0-AddedOffRampNode;160512744#0-AddedOffRampEdge;4;14;4724.45,3088.94 4786.21,3010.29;22.22;452480343;highway.motorway;0;origId;160512744
1.9;;160512744#0-AddedOffRampNode;160512744#0-AddedOffRampEdge;4;14;4724.45,3088.94 4786.21,3010.29;22.22;452480343;highway.motorway;1;origId;160512744
1.9;;160512744#0-AddedOffRampNode;160512744#0-AddedOffRampEdge;4;14;4724.45,3088.94 4786.21,3010.29;22.22;452480343;highway.motorway;2;origId;160512744
1.9;;160512744#0-AddedOffRampNode;160512744#0-AddedOffRampEdge;4;14;4724.45,3088.94 4786.21,3010.29;22.22;452480343;highway.motorway;3;origId;160512744
1.9;;452480343;160512744#1;2;14;4783.69,3008.32 4799.58,2977.40 4802.91,2965.28 4803.90,2953.99 4803.11,2945.88 4801.20,2933.70 4797.21,2924.10 4791.20,2913.62 4782.56,2904.27 4770.14,2893.72 4757.70,2885.48 4725.55,2867.77;22.22;1725691293;highway.motorway;0;origId;160512744
